source,target,punk_type,event_type,timestamp
0xc352b534e8b987e036a93539fd6897f53488e56a,20,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,14,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,13,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,12,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,11,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,10,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,9,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,8,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,7,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,6,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,5,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,4,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,3,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,2,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,0,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,38,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,15,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,16,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,17,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,18,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,32,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,31,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,30,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,29,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,28,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,35,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,36,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,39,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,27,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,25,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,24,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,23,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,22,Human,Assign,1498225851
0xc352b534e8b987e036a93539fd6897f53488e56a,21,Human,Assign,1498225851
