source,target,punk_type,event_type,punk_id,timestamp
0x0000000000000000000000000000000000000000,0xc352b534e8b987e036a93539fd6897f53488e56a,Zombie,Assign,117,1498226579
0x0000000000000000000000000000000000000000,0xc352b534e8b987e036a93539fd6897f53488e56a,Ape,Assign,372,1498227649
0x0000000000000000000000000000000000000000,0xc352b534e8b987e036a93539fd6897f53488e56a,Alien,Assign,635,1498229446
0x0000000000000000000000000000000000000000,0xc352b534e8b987e036a93539fd6897f53488e56a,Zombie,Assign,987,1498229789
0x0000000000000000000000000000000000000000,0x5b098b00621eda6a96b7a476220661ad265f083f,Zombie,Assign,6491,1498238583
0x0000000000000000000000000000000000000000,0x5b098b00621eda6a96b7a476220661ad265f083f,Ape,Assign,9265,1498245770
0x0000000000000000000000000000000000000000,0x00bd9fd57c423a1b1c969823d409156d90974d77,Zombie,Assign,6304,1498238504
0x0000000000000000000000000000000000000000,0xc5d739a29e3f97b59ddb1d8f46aaa2e46496d462,Zombie,Assign,2329,1498231956
0x0000000000000000000000000000000000000000,0xc5d739a29e3f97b59ddb1d8f46aaa2e46496d462,Ape,Assign,5217,1498235917
0x0000000000000000000000000000000000000000,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,Ape,Assign,1021,1498229849
0x0000000000000000000000000000000000000000,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,Zombie,Assign,1526,1498230350
0x0000000000000000000000000000000000000000,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,Ape,Assign,2243,1498231682
0x0000000000000000000000000000000000000000,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,Ape,Assign,2491,1498232184
0x0000000000000000000000000000000000000000,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,Ape,Assign,5314,1498236007
0x0000000000000000000000000000000000000000,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,Zombie,Assign,7252,1498240638
0x0000000000000000000000000000000000000000,0x365e35652879023f12b5cf4c44eb9c1cf2f6f549,Zombie,Assign,1119,1498229934
0x0000000000000000000000000000000000000000,0x7e23a0a9fd1105ca4b1dc9b7e0f0aab3b7071caa,Zombie,Assign,9997,1498246679
0x0000000000000000000000000000000000000000,0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,Zombie,Assign,1190,1498230084
0x0000000000000000000000000000000000000000,0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,Zombie,Assign,2484,1498232184
0x0000000000000000000000000000000000000000,0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,Zombie,Assign,2681,1498232718
0x0000000000000000000000000000000000000000,0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,Zombie,Assign,5412,1498236054
0x0000000000000000000000000000000000000000,0x8234be55f64ea91960b78357906cf5bebce81f3d,Zombie,Assign,8857,1498245167
0x0000000000000000000000000000000000000000,0x585f98cf291f081405412edafcf471d19003ca9c,Ape,Assign,4464,1498234888
0x0000000000000000000000000000000000000000,0x585f98cf291f081405412edafcf471d19003ca9c,Ape,Assign,6145,1498237926
