                                            0x0000000000000000000000000000000000000000  0xc352b534e8b987e036a93539fd6897f53488e56a  0x1e32a859d69dde58d03820f8f138c99b688d132f  0x8884f2af43bcbd9ab81f7a4ac35f421df1926810  0x6611fe71c233e4e7510b2795c242c9a57790b376  0x00b278dd68f9d8491795ffaf771120638bef1686  0x03911fecabd6b4809c88e2e6eb856ec932b2ee3e  0x24c5eba1f94b34efb3226ee3ae06884057752c2a  0x7eb28b2f14a59789ec4c782a5dd957f9c8f33f6b  0x88fb3d509fc49b515bfeb04e23f53ba339563981  0x950012685408083b795506e13d87392bd55d6930  0xf4b4a58974524e183c275f3c6ea895bc2368e738  0x7b8961f67382c51c389726667ef7dd7cf95fefd3  0x266892ed0d40ea5c37f3e0239537999c13468311  0x897aea3d51dcba918c41ae23f5d9a7411671dee0  0x405b96e2538ac85ee862e332fa634b158d013ae1  0x8e232860171762f6ff2d22d1fcc45af78bd3fbb5
0x0000000000000000000000000000000000000000                                         0.0                                         1.0                                         1.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0xc352b534e8b987e036a93539fd6897f53488e56a                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0
0x1e32a859d69dde58d03820f8f138c99b688d132f                                         1.0                                         0.0                                         0.0                                         0.0                                         1.0                                         1.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x8884f2af43bcbd9ab81f7a4ac35f421df1926810                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x6611fe71c233e4e7510b2795c242c9a57790b376                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         1.0
0x00b278dd68f9d8491795ffaf771120638bef1686                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x03911fecabd6b4809c88e2e6eb856ec932b2ee3e                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x24c5eba1f94b34efb3226ee3ae06884057752c2a                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0
0x7eb28b2f14a59789ec4c782a5dd957f9c8f33f6b                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x950012685408083b795506e13d87392bd55d6930                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0
0xf4b4a58974524e183c275f3c6ea895bc2368e738                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x7b8961f67382c51c389726667ef7dd7cf95fefd3                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x266892ed0d40ea5c37f3e0239537999c13468311                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x897aea3d51dcba918c41ae23f5d9a7411671dee0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x405b96e2538ac85ee862e332fa634b158d013ae1                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
0x8e232860171762f6ff2d22d1fcc45af78bd3fbb5                                         0.0                                         0.0                                         0.0                                         0.0                                         1.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0                                         0.0
